Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[beomi/KoAlpaca-v1.1a] 21155개 예제
[nlpai-lab/kullm-v2] 152630개 예제
train 167505 / val 1691 예제
베이스 모델: checkpoints/base_1b/latest.pt (step 23999)
총 5234 steps (2 epochs)
SFT 전 val loss (베이스 모델): 1.3236
epoch 0 step 1440/5234 | loss 1.4279 | lr 1.70e-05 | 5364s
epoch 0 step 1450/5234 | loss 1.2868 | lr 1.70e-05 | 5402s
epoch 0 step 1460/5234 | loss 1.4122 | lr 1.69e-05 | 5440s
epoch 0 step 1470/5234 | loss 1.3305 | lr 1.69e-05 | 5476s
epoch 0 step 1480/5234 | loss 1.3393 | lr 1.68e-05 | 5512s
epoch 0 step 1490/5234 | loss 1.3568 | lr 1.68e-05 | 5549s
epoch 0 step 1500/5234 | loss 1.3413 | lr 1.67e-05 | 5585s
체크포인트 저장: checkpoints/sft_1b/latest.pt (step 1500)
epoch 0 step 1510/5234 | loss 1.4081 | lr 1.67e-05 | 5624s
epoch 0 step 1520/5234 | loss 1.4926 | lr 1.67e-05 | 5659s
epoch 0 step 1530/5234 | loss 1.3033 | lr 1.66e-05 | 5698s
epoch 0 step 1540/5234 | loss 1.5183 | lr 1.66e-05 | 5735s
epoch 0 step 1550/5234 | loss 1.5199 | lr 1.65e-05 | 5772s
epoch 0 step 1560/5234 | loss 1.4335 | lr 1.65e-05 | 5809s
epoch 0 step 1570/5234 | loss 1.5126 | lr 1.64e-05 | 5848s
epoch 0 step 1580/5234 | loss 1.4574 | lr 1.64e-05 | 5883s
epoch 0 step 1590/5234 | loss 1.2693 | lr 1.64e-05 | 5921s
epoch 0 step 1600/5234 | loss 1.3621 | lr 1.63e-05 | 5959s
epoch 0 step 1610/5234 | loss 1.2706 | lr 1.63e-05 | 5996s
epoch 0 step 1620/5234 | loss 1.2832 | lr 1.62e-05 | 6033s
epoch 0 step 1630/5234 | loss 1.4124 | lr 1.62e-05 | 6071s
epoch 0 step 1640/5234 | loss 1.1263 | lr 1.61e-05 | 6110s
epoch 0 step 1650/5234 | loss 1.3574 | lr 1.61e-05 | 6148s
epoch 0 step 1660/5234 | loss 1.4933 | lr 1.60e-05 | 6184s
epoch 0 step 1670/5234 | loss 1.2129 | lr 1.60e-05 | 6222s
epoch 0 step 1680/5234 | loss 1.3375 | lr 1.60e-05 | 6261s
epoch 0 step 1690/5234 | loss 1.4198 | lr 1.59e-05 | 6299s
epoch 0 step 1700/5234 | loss 1.4863 | lr 1.59e-05 | 6336s
epoch 0 step 1710/5234 | loss 1.4421 | lr 1.58e-05 | 6374s
epoch 0 step 1720/5234 | loss 1.3071 | lr 1.58e-05 | 6408s
epoch 0 step 1730/5234 | loss 1.2355 | lr 1.57e-05 | 6445s
epoch 0 step 1740/5234 | loss 1.4443 | lr 1.57e-05 | 6482s
epoch 0 step 1750/5234 | loss 1.2243 | lr 1.56e-05 | 6520s
epoch 0 step 1760/5234 | loss 1.3447 | lr 1.56e-05 | 6558s
